"""About the data: Exported on Oct 13, 2022. Criteria: 'adaptive blockchain' in title and abstract; Publication Year is 2018 or 2019 or 2020 or 2021 or 2022. © 2022 Digital Science &amp; Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,Title,Abstract,Acknowledgements,Source title,Anthology title,Publisher,MeSH terms,Publication Date,PubYear,Publication Date (online),Publication Date (print),Volume,Issue,Pagination,Open Access,Publication Type,Authors,Authors (Raw Affiliation),Corresponding Authors,Authors Affiliations,Research Organizations - standardized,GRID IDs,City of Research organization,State of Research organization,Country of Research organization,Funder,Funder Group,Funder Country,UIDs of supporting grants,Supporting Grants,Times cited,Recent citations,RCR,FCR,Altmetric,Source Linkout,Dimensions URL,Fields of Research (ANZSRC 2020),RCDC Categories,HRCS HC Categories,HRCS RAC Categories,Cancer Types,CSO Categories,Units of Assessment,Sustainable Development Goals
5023,pub.1132687860,10.3390/s20226503,33202552,PMC7697744,IoT Adaptive Dynamic Blockchain Networking Method Based on Discrete Heartbeat Signals,"The combination of blockchain technology and Internet of Things (IoT) technology has brought many significant advantages and new development directions. With the development of embedded technology and 5G communication technology, the performance limitations and network limitations that are traditionally believed to restrict the application of blockchain technology to IoT devices have been broken. The development of ""blockchain + 5G + IoT"" provides reliable data from the source for the blockchain, linking the credible mapping of physical assets and digital assets. However, at the beginning of the blockchain design, the application of the IoT was not fully considered, so there have been some obvious defects in applying the blockchain technology in the IoT. In the Byzantine fault tolerance (BFT) consensus algorithm of traditional blockchain, the entire blockchain network will become paralyzed when more than 1/3 of the nodes in the network are offline. However, in IoT applications, this situation is likely to occur and greatly limits the security and stability of the application of blockchain technology in the IoT. In order to solve this problem, we proposed an IoT adaptive dynamic blockchain networking method based on discrete heartbeat signals. The feature of the method is to set a different monitoring time for each group of nodes, that is, discrete heartbeat signals monitoring. When the number of nodes gradually decreases, the IoT adaptive dynamic blockchain network can dynamically adapt to this process. Even when more than 1/3 of the IoT are offline, the adaptive dynamic IoT blockchain network can maintain stable running. This method also has the advantages of a short network expectation recovery time and avoids instantaneous system paralysis caused by the thundering herd effect. This research improves the security and stability of the application of blockchain technology in the IoT, and provides the necessary technical foundation for the better combination of blockchain technology and IoT technology.",,Sensors,,MDPI,,2020-11-14,2020,2020-11-14,,20,22,6503,All OA; Gold,Article,"Hu, Xueyang; Zheng, Yili; Su, Yu; Guo, Rui","Hu, Xueyang (School of Technology, Beijing Forestry University, Beijing 100083, China;, huxueyang@bjfu.edu.cn); Zheng, Yili (School of Technology, Beijing Forestry University, Beijing 100083, China;, huxueyang@bjfu.edu.cn); Su, Yu (Chaintofuture Technology Limited, Beijing 100081, China;, suyu@ultrain.io, (Y.S.);, rayguo@ultrain.io, (R.G.)); Guo, Rui (Chaintofuture Technology Limited, Beijing 100081, China;, suyu@ultrain.io, (Y.S.);, rayguo@ultrain.io, (R.G.))","Zheng, Yili (Beijing Forestry University)","Hu, Xueyang (Beijing Forestry University); Zheng, Yili (Beijing Forestry University); Su, Yu (); Guo, Rui ()",Beijing Forestry University,grid.66741.32,Beijing,,China,National Natural Science Foundation of China,,China,grant.8196263,31670719,2,2,0.63,0.99,3,https://www.mdpi.com/1424-8220/20/22/6503/pdf,https://app.dimensions.ai/details/publication/pub.1132687860,46 Information and Computing Sciences; 4605 Data Management and Data Science; 4606 Distributed Computing and Systems Software,,,,,,B11 Computer Science and Informatics; B12 Engineering,
960,pub.1113500272,10.1007/978-3-030-16946-6_1,,,Fast Adaptive Blockchain’s Consensus Algorithm via Wlan Mesh Network,"This paper presents a decentralised and fast adaptive block chain’s consensus algorithm with maximum voter privacy using wlan mesh network. The algorithm is suitable for consortium blockchain and private blockchain, and is written as a smart contract for Hyperledger Fabric. Unlike previously proposed blockchain’s consensus protocols, this is the first implementation that does not rely on any trusted authority to compute the tally or to protect the voter’s privacy. Instead, the algorithm is a fast adaptive protocol, and each voter is in control of the privacy of their own vote such that it can only be breached by a full collusion involving all other voters. The execution of the protocol is enforced using the consensus mechanism that also secures the Fabric blockchain. This paper tests the implementation on Fabric’s official test network to demonstrate its feasibility. Also, this paper provides a computational breakdown of its execution cost.",,Advances in Intelligent Systems and Computing,Security with Intelligent Computing and Big-data Services,Springer Nature,,2019-04-17,2019,2019-04-17,2020,895,,3-16,Closed,Chapter,"Jiang, Xin; Liu, Mingzhe; Zhao, Feixiang; Zhou, Qin; Wang, Ruili","Jiang, Xin (State Key Laboratory of Geohazard Prevention and Geoenvironment Protection, Chengdu University of Technology, Chengdu, Sichuan, China); Liu, Mingzhe (State Key Laboratory of Geohazard Prevention and Geoenvironment Protection, Chengdu University of Technology, Chengdu, Sichuan, China); Zhao, Feixiang (State Key Laboratory of Geohazard Prevention and Geoenvironment Protection, Chengdu University of Technology, Chengdu, Sichuan, China); Zhou, Qin (State Key Laboratory of Geohazard Prevention and Geoenvironment Protection, Chengdu University of Technology, Chengdu, Sichuan, China); Wang, Ruili (Institute of Natural and Mathematical Sciences, Massey University, Auckland, New Zealand)","Liu, Mingzhe (Chengdu University of Technology)","Jiang, Xin (Chengdu University of Technology); Liu, Mingzhe (Chengdu University of Technology); Zhao, Feixiang (Chengdu University of Technology); Zhou, Qin (Chengdu University of Technology); Wang, Ruili (Massey University)",Chengdu University of Technology; Massey University,grid.411288.6; grid.148374.d,Chengdu; Palmerston North,; ,China; New Zealand,,,,,,2,2,,0.85,,,https://app.dimensions.ai/details/publication/pub.1113500272,46 Information and Computing Sciences; 4604 Cybersecurity and Privacy,,,,,,B11 Computer Science and Informatics,
959,pub.1144337259,10.1007/978-3-030-92684-7_4,,,Towards an Adaptive Blockchain for Internet of Vehicles,"Cybersecurity is an essential requirement to enable the deployment of Cooperative-Intelligent Transportation Systems (C-ITS). In vehicular networks, Blockchain is a solution often considered to secure exchanges between nodes. In fact, this technology could enable each vehicle to check by itself the content of each message it receives, without the need to trust its neighbors. Nevertheless, Blockchain was initially designed for wired networks. Therefore, its deployment in vehicular networks would imply considering the features of this environment: high mobility, variable C-ITS applications’ requirements, limited vehicles capabilities, etc. That is why, in this paper, after comparing existing solutions, we introduce a new adaptive Blockchain framework, designed to address the vehicular environment challenges. We also describe a Blockchain architecture that could support this framework and present future directions that will contribute to its implementation and evaluation.",,Lecture Notes in Computer Science,Communication Technologies for Vehicles,Springer Nature,,2021,2021,2022-01-01,2021,13120,,37-48,Closed,Chapter,"Mendiboure, Leo; Maaloul, Sassi; Aniss, Hasnaa","Mendiboure, Leo (COSYS/ERENA Lab, University Gustave Eiffel, Bordeaux, France); Maaloul, Sassi (COSYS/ERENA Lab, University Gustave Eiffel, Bordeaux, France); Aniss, Hasnaa (COSYS/ERENA Lab, University Gustave Eiffel, Bordeaux, France)","Mendiboure, Leo (Université Gustave Eiffel)","Mendiboure, Leo (Université Gustave Eiffel); Maaloul, Sassi (Université Gustave Eiffel); Aniss, Hasnaa (Université Gustave Eiffel)",Université Gustave Eiffel,grid.509737.f,Champs-sur-Marne,,France,,,,,,1,1,,,,,https://app.dimensions.ai/details/publication/pub.1144337259,46 Information and Computing Sciences; 4605 Data Management and Data Science; 4606 Distributed Computing and Systems Software,Bioengineering,,,,,B11 Computer Science and Informatics,
958,pub.1136500800,10.1016/j.ipm.2021.102561,,,A high-performance native approach to adaptive blockchain smart-contract transmission and execution,"We are presenting a continuously adaptive approach that significantly reduces the storage requirements of smart-contracts, an essential part of programmable blockchains, aimed towards increasing the throughput of the blockchain overall. Our approach proposes a semantically-different blockchain architecture, which introduces a new type of nodes whose purpose is to enhance the storage used by smart-contracts, alongside a highly efficient storage model combined with a hybrid compression mechanism. We then perform real-world experiments through our custom native blockchain and evaluate the performance impact of the approach, as well as the gains observed. We also assess an important advantage lying in backwards compatibility with major blockchains today.","This work was supported by the ABEY blockchain (Romania) (ABEY, 2021) and the West University of Timisoara, Faculty of Mathematics and Informatics (Romania) .",Information Processing & Management,,Elsevier,,2021-07,2021,,2021-07,58,4,102561,Closed,Article,"Spataru, Alexe Luca; Pungila, Ciprian-Petrisor; Radovancovici, Marco","Spataru, Alexe Luca (Faculty of Mathematics and Informatics, West University of Timisoara 1 1 Since 1944. , Blvd. Vasile Parvan 4, Timisoara, Romania); Pungila, Ciprian-Petrisor (Faculty of Mathematics and Informatics, West University of Timisoara 1 1 Since 1944. , Blvd. Vasile Parvan 4, Timisoara, Romania); Radovancovici, Marco (Faculty of Mathematics and Informatics, West University of Timisoara 1 1 Since 1944. , Blvd. Vasile Parvan 4, Timisoara, Romania)","Pungila, Ciprian-Petrisor (West University of Timişoara)","Spataru, Alexe Luca (West University of Timişoara); Pungila, Ciprian-Petrisor (West University of Timişoara); Radovancovici, Marco (West University of Timişoara)",West University of Timişoara,grid.14004.31,Timișoara,,Romania,,,,,,5,5,,,,,https://app.dimensions.ai/details/publication/pub.1136500800,46 Information and Computing Sciences; 4606 Distributed Computing and Systems Software,,,,,,B11 Computer Science and Informatics,7 Affordable and Clean Energy
957,pub.1149617415,10.3390/ijgi11070409,,,Adaptive Spatio-Temporal Query Strategies in Blockchain,"In various applications of blockchain, how to index spatio-temporal data more efficiently has become a subject of continuous attention. The existing spatio-temporal data query in the blockchain is realized by adding additional external storage or fixed spatio-temporal index in the block, without considering the distribution of the spatio-temporal query itself and the proof performance accompanying the query. We propose an adaptive spatio-temporal blockchain index method, called Verkle AR*-tree, which adds the verification of time and location in the blockchain without additional storage and realizes the spatio-temporal index with an encrypted signature. Verkle AR*-tree further provides an adaptive algorithm, which adjusts the tree structure according to the historical query to produce the optimized index structure. The experimental results based on the pokeman dataset show that compared with the existing static spatio-temporal index, our method can effectively increase the performance of the spatio-temporal query and the spatio-temporal commitment in the blockchain.",,ISPRS International Journal of Geo-Information,,MDPI,,2022-07-19,2022,2022-07-19,,11,7,409,All OA; Gold,Article,"Chen, Haibo; Liang, Daolei","Chen, Haibo (); Liang, Daolei ()",,"Chen, Haibo (); Liang, Daolei ()",,,,,,,,,,,0,0,,,,https://www.mdpi.com/2220-9964/11/7/409/pdf?version=1658383299,https://app.dimensions.ai/details/publication/pub.1149617415,37 Earth Sciences; 3704 Geoinformatics; 3709 Physical Geography and Environmental Geoscience; 40 Engineering; 4013 Geomatic Engineering,,,,,,B11 Computer Science and Informatics,
942,pub.1122600760,10.1007/978-3-030-34992-9_23,,,Brief Announcement Blockguard: Adaptive Blockchain Security,"We change the security of blockchain transactions by varying the size of consensus committees. To improve performance, such committees operate concurrently. We present two algorithms that allow adaptive security by forming concurrent variable size consensus committees on demand. One is based on a single joint blockchain, the other is based on separate sharded blockchains. For in-committee consensus, we implement synchronous Byzantine fault tolerance algorithm (BFT), asynchronous BFT and proof-of-work consensus. We evaluate the performance of our adaptive security algorithms.",,Lecture Notes in Computer Science,"Stabilization, Safety, and Security of Distributed Systems",Springer Nature,,2019-11-14,2019,2019-11-14,2019,11914,,296-300,Closed,Chapter,"Rai, Shishir; Hood, Kendric; Nesterenko, Mikhail; Sharma, Gokarna","Rai, Shishir (Department of Computer Science, Kent State University, 44242, Kent, OH, USA); Hood, Kendric (Department of Computer Science, Kent State University, 44242, Kent, OH, USA); Nesterenko, Mikhail (Department of Computer Science, Kent State University, 44242, Kent, OH, USA); Sharma, Gokarna (Department of Computer Science, Kent State University, 44242, Kent, OH, USA)","Nesterenko, Mikhail (Kent State University)","Rai, Shishir (Kent State University); Hood, Kendric (Kent State University); Nesterenko, Mikhail (Kent State University); Sharma, Gokarna (Kent State University)",Kent State University,grid.258518.3,Kent,Ohio,United States,,,,,,1,1,,0.43,,,https://app.dimensions.ai/details/publication/pub.1122600760,46 Information and Computing Sciences; 4604 Cybersecurity and Privacy,,,,,,B11 Computer Science and Informatics,
939,pub.1141651221,10.1109/icdcs51616.2021.00065,,,Occam: A Secure and Adaptive Scaling Scheme for Permissionless Blockchain,"Blockchain scalability is one of the most desired properties for permissionless blockchain. Many recent blockchain protocols have focused on increasing the transaction throughput. However, existing protocols cannot dynamically scale the throughput to meet transaction demand. In this paper, we propose Occam, a secure and adaptive scaling scheme. Occam adaptively changes the transaction throughput by expanding and shrinking according to the transaction demand in the network. We introduce a dynamic adjustment mechanism of mining difficulty and a mining power load balancing mechanism to resist various attacks. Furthermore, we implement Occam on Amazon EC2 cluster with 1000 full nodes. Experimental results show that Occam can greatly increase the throughput of the blockchain and the mining power utilization.",This work was supported by grant from Research Grants Council of Hong Kong [Project No. CityU 11202419]. This work was supported by grant from Research Grants Council of Hong Kong [Project No. CityU 11202419].,,2021 IEEE 41st International Conference on Distributed Computing Systems (ICDCS),Institute of Electrical and Electronics Engineers (IEEE),,2021-07-10,2021,,2021-07-10,00,,618-628,Closed,Proceeding,"Xu, Jie; Cheng, Yingying; Wang, Cong; Jia, Xiaohua","Xu, Jie (Department of Computer Science, City University of Hong Kong, Hong Kong); Cheng, Yingying (Huawei Technologies, Hong Kong); Wang, Cong (Department of Computer Science, City University of Hong Kong, Hong Kong); Jia, Xiaohua (Department of Computer Science, City University of Hong Kong, Hong Kong)",,"Xu, Jie (City University of Hong Kong); Cheng, Yingying (Huawei Technologies (China)); Wang, Cong (City University of Hong Kong); Jia, Xiaohua (City University of Hong Kong)",Huawei Technologies (China); City University of Hong Kong,grid.453400.6; grid.35030.35,Shenzhen; Hong Kong,; ,China; China,University Grants Committee,,China,grant.8964783,11202419,1,1,,,,,https://app.dimensions.ai/details/publication/pub.1141651221,46 Information and Computing Sciences; 4604 Cybersecurity and Privacy; 4605 Data Management and Data Science; 4606 Distributed Computing and Systems Software,,,,,,B11 Computer Science and Informatics,
936,pub.1107913245,10.1051/matecconf/201822301010,,,Complex Adaptive Blockchain Governance,"The blockchain revolution upholds the decentralizing ideal of “control nothing.” It is natural that such a pursuit would face issues of governance that demand reasonable control; control that is both operational as well as adaptive in nature. Eliminating middlemen and handing over controls to a trusted system of trustless agents does not thereby bestow trust across time. This is especially true when relentless change is the order of the day. Issues of governance rise up when blockchain systems (especially those that have embedded smart contracts) are forced to operate increasingly away from their original intent. Smart contracts need governance when beset with the problem of the unknown-unknowns. Guided by the axiomatic approach, this paper looks at the paradoxical issue of blockchain governance from a Complex Adaptive Systems (CAS) perspective that helps frame the fundamental problem of decentralization. The objective is to solve the Blockchain Governance Kernel Design. Real-life examples are used to illustrate the findings.",,MATEC Web of Conferences,,EDP Sciences,,2018-10-29,2018,2018-10-29,2018,223,,01010,All OA; Gold,Article,"John, Thomas; Pam, Mantri","John, Thomas (Cognitive Tools Ltd. LLC, P.O. Box 695; 255 North Ave, ;, New Rochelle, NY, 10801, USA); Pam, Mantri (Cognitive Tools Ltd. LLC, P.O. Box 695; 255 North Ave, ;, New Rochelle, NY, 10801, USA)","John, Thomas ","John, Thomas (); Pam, Mantri ()",,,,,,,,,,,11,5,,6.53,,https://www.matec-conferences.org/articles/matecconf/pdf/2018/82/matecconf_icad2018_01010.pdf,https://app.dimensions.ai/details/publication/pub.1107913245,44 Human Society; 4407 Policy and Administration,,,,,,C17 Business and Management Studies,
925,pub.1148386449,10.1109/iccs54944.2021.00028,,,Combining Blockchain Multi Authority and Botnet to Create a Hybrid Adaptive Crypto Cloud Framework,"Blockchain technology has now spread like wildfire across the internet. Blockchain has emerged as a game-changing technology for complex industrial processes as a result of its openness, availability, and security. In this study, we used a hybrid adaptive crypto cloud framework that combines blockchain technology with multiple authorities and a botnet framework to improve cloud security while reducing computation time. The proposed adaptive crypto cloud system divides the cloud security framework into stages to organize secure data communication and reduce communication latency while detecting internal and external threats. In order to compute authentication using hash mapping and deploy an authentication system to safeguard the various users' authentication information, the whole system placed a major emphasis on block chain technology. The technology not only improves security but also makes the role-based access control system and anonymous authentication system more user-friendly.",,,2021 International Conference on Computing Sciences (ICCS),Institute of Electrical and Electronics Engineers (IEEE),,2021-12-05,2021,,2021-12-05,00,,101-106,Closed,Proceeding,"Ch, Ravikumar; Batra, Isha; Malik, Arun","Ch, Ravikumar (Computer Science and Engineering, Lovely Professional University, Punjab, India); Batra, Isha (Computer Science and Engineering, Lovely Professional University, Punjab, India); Malik, Arun (Computer Science and Engineering, Lovely Professional University, Punjab, India)",,"Ch, Ravikumar (Lovely Professional University); Batra, Isha (Lovely Professional University); Malik, Arun (Lovely Professional University)",Lovely Professional University,grid.449005.c,Phagwāra,,India,,,,,,0,0,,,,,https://app.dimensions.ai/details/publication/pub.1148386449,46 Information and Computing Sciences; 4604 Cybersecurity and Privacy; 4606 Distributed Computing and Systems Software,,,,,,B11 Computer Science and Informatics,
923,pub.1105797238,10.1145/3194133.3194150,,,Self-adaptation made easy with blockchains,"This position paper describes how blockchains facilitate the implementation of distributed self-adaptive systems. We demonstrate how the master/slave decentralised control pattern for self-adaptive systems, integrated with a permissioned blockchain, can protect nodes of a network against attacks by continuously adapting the membership of an access control list. Whenever malicious behaviour is detected, consensus on an updated access control list is reached, and that node is removed from the network. Using a smart home, as an example, we demonstrate that a permissioned blockchain is able to maintain a consistent view of a network of Internet of Things (IoT) devices in the presence of malicious nodes.",,,Proceedings of the 13th International Conference on Software Engineering for Adaptive and Self-Managing Systems,Association for Computing Machinery (ACM),,2018-05-28,2018,2018-05-28,2018-05-28,,,192-193,All OA; Green,Proceeding,"Sedgewick, Peter E.; de Lemos, Rogério","Sedgewick, Peter E. (University of Kent, UK); de Lemos, Rogério (University of Kent, UK)",,"Sedgewick, Peter E. (University of Kent); de Lemos, Rogério (University of Kent)",University of Kent,grid.9759.2,Canterbury,Kent,United Kingdom,,,,,,4,0,,1.26,,https://kar.kent.ac.uk/66569/1/seams2018_03RDL.pdf,https://app.dimensions.ai/details/publication/pub.1105797238,46 Information and Computing Sciences; 4604 Cybersecurity and Privacy; 4605 Data Management and Data Science; 4606 Distributed Computing and Systems Software,,,,,,B11 Computer Science and Informatics,
916,pub.1151746724,10.1109/ficloud57274.2022.00039,,,Sabine: Self-Adaptive BlockchaIn coNsEnsus,,,,2022 9th International Conference on Future Internet of Things and Cloud (FiCloud),Institute of Electrical and Electronics Engineers (IEEE),,2022-08,2022,,,,,234-240,Closed,Proceeding,"Leduc, Guilain; Kubler, Sylvain; Georges, Jean-Philippe","Leduc, Guilain (Universit&#x00E9; de Lorraine,CNRS, CRAN,Nancy,France,F-54000); Kubler, Sylvain (Universit&#x00E9; de Lorraine,CNRS, CRAN,Nancy,France,F-54000); Georges, Jean-Philippe (Universit&#x00E9; de Lorraine,CNRS, CRAN,Nancy,France,F-54000)",,"Leduc, Guilain (Research Center for Automatic Control of Nancy); Kubler, Sylvain (Research Center for Automatic Control of Nancy); Georges, Jean-Philippe (Research Center for Automatic Control of Nancy)",Research Center for Automatic Control of Nancy,grid.462787.8,Nancy,,France,,,,,,0,0,,,,,https://app.dimensions.ai/details/publication/pub.1151746724,,,,,,,,
902,pub.1145280740,10.1109/access.2022.3149046,,,FBASHI: Fuzzy and Blockchain-Based Adaptive Security for Healthcare IoTs,"Internet of Things (IoT) is a system of interconnected devices that have the ability to monitor and transfer data to peers without human intervention. Authentication, Authorization and Audit Logs (AAA) are prime features of Network Security and easily attained in legacy systems, however, remains unachieved in IoT. The IoTs require due security considerations as the conventional security mechanisms are not optimized for such devices due to various aspects such as heterogeneity, resource constrained processing, storage and multiple factors. Additionally, the legacy systems are mostly centralized and thus introduce a single point of failure. In this research, a novel framework, FBASHI is presented that is based on fuzzy logic and blockchain technology to achieve AAA services. The proposed system is developed using Hyperledger that is a blockchain platform providing privacy and fast response capability, therefore, it is best suited for the healthcare IoT environments. This work proposes behavior driven adaptive security mechanism for healthcare IoTs and networks based on blockchain by utilizing fuzzy logic and presents a heuristic approach towards behavior driven adaptive security providing AAA services. FBASHI is implemented to analyze its security and practicality. Furthermore, a comparison is drawn with other blockchain-based solutions.","This work was supported by the Saudi Aramco Cybersecurity Chair, Imam Abdulrahman Bin Faisal University.",IEEE Access,,Institute of Electrical and Electronics Engineers (IEEE),,2022-01-01,2022,2022-02-04,2022-01-01,10,,15644-15656,All OA; Gold,Article,"Zulkifl, Zeeshan; Khan, Fawad; Tahir, Shahzaib; Afzal, Mehreen; Iqbal, Waseem; Rehman, Abdul; Saeed, Saqib; Almuhaideb, Abdullah M.","Zulkifl, Zeeshan (Department of Information Security, College of Signals, National University of Sciences and Technology (NUST), Islamabad, 44000, Pakistan); Khan, Fawad (Department of Information Security, College of Signals, National University of Sciences and Technology (NUST), Islamabad, 44000, Pakistan); Tahir, Shahzaib (Department of Information Security, College of Signals, National University of Sciences and Technology (NUST), Islamabad, 44000, Pakistan); Afzal, Mehreen (Department of Cyber Security, Air University, Islamabad, 44000, Pakistan); Iqbal, Waseem (Department of Information Security, College of Signals, National University of Sciences and Technology (NUST), Islamabad, 44000, Pakistan); Rehman, Abdul (Department of Information Security, College of Signals, National University of Sciences and Technology (NUST), Islamabad, 44000, Pakistan); Saeed, Saqib (Saudi Aramco Cybersecurity Chair, Department of Computer Information Systems, College of Computer Science and Information Technology, Imam Abdulrahman Bin Faisal University, Dammam, 31441, Saudi Arabia); Almuhaideb, Abdullah M. (Saudi Aramco Cybersecurity Chair, Department of Networks and Communications, College of Computer Science and Information Technology, Imam Abdulrahman Bin Faisal University, Dammam, 31441, Saudi Arabia)","Tahir, Shahzaib (National University of Sciences and Technology)","Zulkifl, Zeeshan (National University of Sciences and Technology); Khan, Fawad (National University of Sciences and Technology); Tahir, Shahzaib (National University of Sciences and Technology); Afzal, Mehreen (Air University); Iqbal, Waseem (National University of Sciences and Technology); Rehman, Abdul (National University of Sciences and Technology); Saeed, Saqib (Imam Abdulrahman Bin Faisal University); Almuhaideb, Abdullah M. (Imam Abdulrahman Bin Faisal University)",National University of Sciences and Technology; Air University; Imam Abdulrahman Bin Faisal University,grid.412117.0; grid.444783.8; grid.411975.f,Islamabad; Islamabad; Dammam,; ; ,Pakistan; Pakistan; Saudi Arabia,Saudi Aramco (Saudi Arabia),,Saudi Arabia,,,2,2,,,,https://ieeexplore.ieee.org/ielx7/6287639/9668973/09703287.pdf,https://app.dimensions.ai/details/publication/pub.1145280740,46 Information and Computing Sciences; 4604 Cybersecurity and Privacy; 4605 Data Management and Data Science; 4606 Distributed Computing and Systems Software,,,,,,B11 Computer Science and Informatics,
902,pub.1123309451,10.1109/twc.2019.2956519,,,Adaptive Resource Allocation in Future Wireless Networks With Blockchain and Mobile Edge Computing,"In this paper, we present a blockchain-based mobile edge computing (B-MEC) framework for adaptive resource allocation and computation offloading in future wireless networks, where the blockchain works as an overlaid system to provide management and control functions. In this framework, how to reach a consensus between the nodes while simultaneously guaranteeing the performance of both MEC and blockchain systems is a major challenge. Meanwhile, resource allocation, block size, and the number of consecutive blocks produced by each producer are critical to the performance of B-MEC. Therefore, an adaptive resource allocation and block generation scheme is proposed. To improve the throughput of the overlaid blockchain system and the quality of services (QoS) of the users in the underlaid MEC system, spectrum allocation, size of the blocks, and number of producing blocks for each producer are formulated as a joint optimization problem, where the time-varying wireless links and computation capacity of the MEC servers are considered. Since this problem is intractable using traditional methods, we resort to the deep reinforcement learning approach. Simulation results show the effectiveness of the proposed approach by comparing with other baseline methods.","This work was supported in part by the National Natural Science Foundation of China under Grant 61671088 and Grant 61771070, the Beijing University of Posts and Telecommunications (BUPT) Excellent Ph.D. Students Foundation under Grant CX2018201, and the Canadian Natural Sciences and Engineering Research Council under Grant RGPIN-2019-06348.",IEEE Transactions on Wireless Communications,,Institute of Electrical and Electronics Engineers (IEEE),,2019-12-09,2019,2019-12-09,2020-03-01,19,3,1689-1703,Closed,Article,"Guo, Fengxian; Yu, F. Richard; Zhang, Heli; Ji, Hong; Liu, Mengting; Leung, Victor C. M.","Guo, Fengxian (Key Laboratory of Universal Wireless Communications, Ministry of Education, Beijing University of Posts and Telecommunications, Beijing, 100876, China); Yu, F. Richard (Department of Systems and Computer Engineering, Carleton University, Ottawa, ON, K1S 5B6, Canada); Zhang, Heli (Key Laboratory of Universal Wireless Communications, Ministry of Education, Beijing University of Posts and Telecommunications, Beijing, 100876, China); Ji, Hong (Key Laboratory of Universal Wireless Communications, Ministry of Education, Beijing University of Posts and Telecommunications, Beijing, 100876, China); Liu, Mengting (Beijing Key Laboratory of Space-ground Interconnection and Convergence, Beijing University of Posts and Telecommunications, Beijing, 100876, China); Leung, Victor C. M. (College of Computer Science and Software Engineering, Shenzhen University, Shenzhen, 518060, China; Department of Electrical and Computer Engineering, The University of British Columbia, Vancouver, BC, V6T 1Z4, Canada)","Ji, Hong (Ministry of Education of the People's Republic of China)","Guo, Fengxian (Ministry of Education of the People's Republic of China); Yu, F. Richard (Carleton University); Zhang, Heli (Ministry of Education of the People's Republic of China); Ji, Hong (Ministry of Education of the People's Republic of China); Liu, Mengting (Beijing University of Posts and Telecommunications); Leung, Victor C. M. (Shenzhen University; University of British Columbia)",Beijing University of Posts and Telecommunications; University of British Columbia; Shenzhen University; Carleton University; Ministry of Education of the People's Republic of China,grid.31880.32; grid.17091.3e; grid.263488.3; grid.34428.39; grid.419897.a,Beijing; Vancouver; Shenzhen; Ottawa; Beijing,Beijing; British Columbia; ; Ontario; ,China; Canada; China; Canada; China,Natural Sciences and Engineering Research Council; National Natural Science Foundation of China,ICRP - International Cancer Research Partnership,Canada; China,grant.8310264; grant.8305689,61771070; 61671088,65,48,,28.01,,,https://app.dimensions.ai/details/publication/pub.1123309451,40 Engineering; 4006 Communications Engineering; 46 Information and Computing Sciences; 4606 Distributed Computing and Systems Software; 4613 Theory Of Computation,Clinical Research,,,,,B11 Computer Science and Informatics,
889,pub.1147766364,10.1504/ijids.2022.122719,,,An adaptive neuro-fuzzy inference for blockchain-based smart job recommendation system,"Blockchain is a technology that supports secured transaction in a public distributed database. It maintains a peer-to-peer network where a transaction cannot be modified or tampered by unauthenticated users. It provides a safe message transfer from a sender to a receiver. Job recommendation is an online system that provides a mapping between the job seeker and the employer. This paper proposes a public blockchain of job recommendations based on incremental hashing. The examinations show that this blockchain job recommendation provides process integrity, traceability, security, high levels of transparency, drastic reduction in operational cost and high standard and systematic. The system has two stages. Firstly, using blockchain technology, the authenticated data is fetched. Secondly, a classification model using adaptive neuro-fuzzy inference system is built for mapping the job seeker to the recruiter. This approach proves to be authenticated as well as a smart job recommendation system.",,International Journal of Information and Decision Sciences,,Inderscience Publishers,,2022-05-05,2022,2022-05-05,2022,14,1,1-14,Closed,Article,"Ephzibah, E.P.; Sujatha, R.; Chatterjee, Jyotir Moy","Ephzibah, E.P. (Vellore Institute of Technology, VIT, Vellore - 632014, Tamil Nadu, India); Sujatha, R. (Vellore Institute of Technology, VIT, Vellore - 632014, Tamil Nadu, India); Chatterjee, Jyotir Moy (Lord Buddha Education Foundation, LBEF Campus, Opp. Maitidevi Temple, Kathmandu, Nepal)",,"Ephzibah, E.P. (Vellore Institute of Technology University); Sujatha, R. (Vellore Institute of Technology University); Chatterjee, Jyotir Moy ()",Vellore Institute of Technology University,grid.412813.d,Vellore,Tamil Nadu,India,,,,,,0,0,,,,,https://app.dimensions.ai/details/publication/pub.1147766364,46 Information and Computing Sciences; 4604 Cybersecurity and Privacy; 4605 Data Management and Data Science,,,,,,B11 Computer Science and Informatics,
